reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity
NA,IOM,Planned,Idleb,Harim,Dana,Aqrabat (Dana),NA,Kherbit bsartoun / خربة بسرطون,SY07,SY0703,SY070301,C4127,NA,NA,NA,NA,36.269945,36.70786,Multipurpose - Repeated,Earthquake,236,NA,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,17700,Blanket,2023-01-06,2023-12-31,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Dana,Hezreh - Hezri,NA,AL-Andalus Suburb,SY07,SY0703,SY070301,C4120,NA,NA,NA,NA,36.23259,36.789977,Multipurpose - Repeated,Earthquake,100,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,7500,Blanket,2023-01-06,2023-12-31,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Dana,Hezreh - Hezri,NA,Alhanan,SY07,SY0703,SY070301,C4120,NA,NA,NA,NA,36.23259,36.789977,Multipurpose - Repeated,Earthquake,50,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,3750,Blanket,2023-01-06,2023-12-31,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Completed,Idleb,Harim,Harim,Harim,NA,Abd alkader alsaleh / عبدالقادر الصالح,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,80,18,441,79,83,141,137,1,0,NA,NA,NA,19,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,6000,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-06-30,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Completed,Idleb,Harim,Harim,Harim,NA,Al Aman (Harim) / الأمان(حارم),SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,152,54,724,143,156,207,187,15,16,NA,NA,NA,18,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,11400,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-06-30,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Completed,Idleb,Harim,Harim,Harim,NA,Al Azraq / الأزرق,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,84,42,420,70,79,125,129,4,13,NA,NA,NA,9,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,6300,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-06-30,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Completed,Idleb,Harim,Harim,Harim,NA,Al Madenh Monarh (Harim) / المدينة المنورة (حارم),SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,126,57,556,116,126,140,143,11,20,NA,NA,NA,16,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,9450,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-06-30,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Completed,Idleb,Harim,Harim,Harim,NA,Jabal Harim (Sabiroon) / جبل حارم (صابرون),SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,245,102,1151,215,259,300,315,33,29,NA,NA,NA,45,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,18375,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-06-30,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Completed,Idleb,Harim,Harim,Harim,NA,Abnaa Almansoura / أبناء المنصورة,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,63,36,321,62,71,82,95,5,6,NA,NA,NA,9,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,4725,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-06-30,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Harim,Harim,NA,Abd alkader alsaleh / عبدالقادر الصالح,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,80,18,441,79,83,141,137,1,0,NA,NA,NA,19,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,6000,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Harim,Harim,NA,Al Aman (Harim) / الأمان(حارم),SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,152,54,724,143,156,207,187,15,16,NA,NA,NA,18,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,11400,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Harim,Harim,NA,Al Azraq / الأزرق,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,84,42,420,70,79,125,129,4,13,NA,NA,NA,9,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,6300,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Harim,Harim,NA,Al Madenh Monarh (Harim) / المدينة المنورة (حارم),SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,126,57,556,116,126,140,143,11,20,NA,NA,NA,16,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,9450,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Harim,Harim,NA,Jabal Harim (Sabiroon) / جبل حارم (صابرون),SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,245,102,1151,215,259,300,315,33,29,NA,NA,NA,45,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,18375,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,IOM,Planned,Idleb,Harim,Harim,Harim,NA,Abnaa Almansoura / أبناء المنصورة,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - Repeated,Earthquake,63,36,321,62,71,82,95,5,6,NA,NA,NA,9,Yes,NA,Unconditional,Voucher - Restricted,Local money trader,e-voucher,USD,75,Month,1,1,75,4725,Blanket,2023-02-20,2023-11-19,NA,Abdulaziz Almohammad,Project manager,a.almohammad@iydrelief.org,5312062500,2023-07-31,IYD,Uluslararasi Insani Yardimlasma Dernegi (IYD),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Idleb,Maaret Tamsrin,Ma'arrat Tamasrin,NA,NA,SY07,SY0700,SY070005,C3947,NA,NA,مخيم مرام - Maram camp,camp,36.013896,36.672724,Multipurpose - One time,Earthquake,636,NA,3100,691,791,851,767,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,95400,Blanket,2023-03-22,2023-03-22,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Barisha,NA,NA,SY07,SY0703,SY070304,C4164,NA,NA,قرية الحياة / Qariat alhayat,camp,36.165243,36.636461,Multipurpose - One time,Earthquake,133,NA,618,152,160,165,141,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,19950,Blanket,2023-03-22,2023-03-22,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Idleb,Maaret Tamsrin,Maaret Elekhwan,NA,القرية الطينية /Al Teneyh Village,SY07,SY0700,SY070005,C3950,NA,CP001173,NA,camp,36.063862,36.674353,Multipurpose - One time,Earthquake,252,NA,1085,280,298,279,228,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,37800,Blanket,2023-03-22,2023-03-22,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,هبيط الخير /Habiet Alkhier,SY07,SY0703,SY070301,C4129,NA,CP001550,NA,camp,36.233725,36.762754,Multipurpose - One time,Earthquake,482,NA,2147,535,584,540,488,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,72300,Blanket,2023-03-23,2023-03-23,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Harim,Ariba,NA,NA,SY07,SY0703,SY070300,C4114,NA,NA,عربيا,camp,36.176232,36.508001,Multipurpose - One time,Earthquake,261,NA,1204,286,304,311,303,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,39150,Blanket,2023-03-25,2023-03-25,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Qourqeena,NA,NA,SY07,SY0703,SY070304,C4174,NA,NA,البكري / Albakry,camp,36.138546,36.61267,Multipurpose - One time,Earthquake,63,NA,250,70,81,54,45,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,9450,Blanket,2023-03-25,2023-03-25,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Qourqeena,NA,Saraqep Alez 3/ سراقب العز 3,SY07,SY0703,SY070304,C4174,NA,CP001341,NA,camp,36.138546,36.61267,Multipurpose - One time,Earthquake,81,NA,358,92,92,92,82,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,12150,Blanket,2023-03-25,2023-03-25,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Harim,Harim,NA,NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,village,36.212594,36.520746,Multipurpose - One time,Earthquake,118,NA,523,145,134,123,121,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,17700,Blanket,2023-03-26,2023-03-26,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Idleb,Maaret Tamsrin,Maaret Elekhwan,NA,Al Khalifa/ الخليفة,SY07,SY0700,SY070005,C3950,NA,CP001003,NA,camp,36.063862,36.674353,Multipurpose - One time,Earthquake,119,NA,543,140,160,126,117,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,17850,Blanket,2023-03-30,2023-03-30,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-03-31,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Qourqeena,NA,NA,SY07,SY0703,SY070304,C4174,NA,NA,خالد بن الوليد / Khalid ibn al-Walid,camp,36.138546,36.61267,Multipurpose - One time,Earthquake,86,NA,349,86,92,94,77,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,12900,Blanket,2023-04-11,2023-04-11,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Kafr Aruq (co),NA,Kafr Aruq/كفرعروق,SY07,SY0703,SY070304,C4172,NA,CP000506,NA,camp,36.121068,36.655729,Multipurpose - One time,Earthquake,80,NA,371,81,98,104,88,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,12000,Blanket,2023-04-11,2023-04-11,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Kafr Aruq (co),NA,Aldof / الدوف,SY07,SY0703,SY070304,C4172,NA,CP001870,NA,camp,36.121068,36.655729,Multipurpose - One time,Earthquake,83,NA,347,85,86,104,72,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,12450,Blanket,2023-04-12,2023-04-12,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Qourqeena,NA,Sayar / السيار,SY07,SY0703,SY070304,C4174,NA,CP001795,NA,camp,36.138546,36.61267,Multipurpose - One time,Earthquake,157,NA,788,182,196,224,186,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,23550,Blanket,2023-04-13,2023-04-13,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Torlaha,NA,NA,SY07,SY0703,SY070304,C4170,NA,NA,دار السلام / Dar Alsalam,camp,36.213309,36.587198,Multipurpose - One time,Earthquake,294,NA,1196,319,313,281,283,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,44100,Blanket,2023-04-13,2023-04-13,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Dana,Mashhad Ruhin,NA,NA,SY07,SY0703,SY070301,C6692,NA,NA,البر (IHH) - AlBer (IHH),camp,36.269416,36.744321,Multipurpose - One time,Earthquake,536,NA,2408,602,642,617,547,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,80400,Blanket,2023-04-12,2023-04-12,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Idleb,Maaret Tamsrin,Shekh Bahr,NA,NA,SY07,SY0700,SY070005,C6631,NA,NA,قرية الحياة / qaryat alhayaa,camp,36.050467,36.564705,Multipurpose - One time,Earthquake,143,NA,788,182,196,224,186,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,21450,Blanket,2023-04-13,2023-04-13,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Ma'btali,Ma'btali,NA,NA,SY02,SY0203,SY020306,C1552,NA,NA,كوركان تحتاني / Korkan Tehtani,camp,36.563264,36.736791,Multipurpose - One time,Earthquake,77,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,11550,Blanket,2023-04-18,2023-04-18,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Ma'btali,Ma'btali,NA,NA,SY02,SY0203,SY020306,C1552,NA,NA,كوركان فوفاني / Korkan Fukani,camp,36.563264,36.736791,Multipurpose - One time,Earthquake,98,NA,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,14700,Blanket,2023-04-18,2023-04-18,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Koran Jandris,NA,NA,SY02,SY0203,SY020302,C1447,NA,NA,كوردان / Kordan,camp,36.43962,36.673392,Multipurpose - One time,Earthquake,75,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,11250,Blanket,2023-04-18,2023-04-18,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Tal Hamo,NA,NA,SY02,SY0203,SY020302,C1430,NA,NA,NA,village,36.41732,36.771669,Multipurpose - One time,Earthquake,103,NA,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,15450,Blanket,2023-04-18,2023-04-18,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Haj Eskandar,NA,NA,SY02,SY0203,SY020302,C1420,NA,NA,NA,village,36.376542,36.639718,Multipurpose - One time,Earthquake,127,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,19050,Blanket,2023-04-18,2023-04-18,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,الساقية / Al Sakia,camp,36.511094,36.865523,Multipurpose - One time,Earthquake,95,NA,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,14250,Blanket,2023-04-19,2023-04-19,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,مركز إيواء - الجنوبي,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,66,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,9900,Blanket,2023-04-19,2023-04-19,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,مركز إيواء - أبو عثمان,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,87,NA,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,13050,Blanket,2023-04-19,2023-04-19,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,مركز إيواء - الكرم,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,42,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,6300,Blanket,2023-04-19,2023-04-19,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,مركز إيواء - أبو يعرب,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,64,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,9600,Blanket,2023-04-19,2023-04-19,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,World Vision International,Planned,Idleb,Idleb,Idleb,Idleb,NA,NA,SY07,SY0700,SY070000,C3871,NA,NA,NA,village,35.929008,36.635276,Multipurpose - Repeated,Earthquake,125,NA,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,350,Month,2,1,700,87500,Other,NA,NA,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,World Vision International,Planned,Idleb,Harim,Salqin,Salqin,NA,NA,SY07,SY0703,SY070302,C4140,NA,NA,NA,village,36.139048,36.453694,Multipurpose - Repeated,Earthquake,160,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,350,Month,2,1,700,112000,Other,NA,NA,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,World Vision International,Planned,Idleb,Ariha,Ariha,Ariha (co),NA,NA,SY07,SY0705,SY070500,C4278,NA,NA,NA,village,35.81396,36.610185,Multipurpose - Repeated,Earthquake,100,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,350,Month,2,1,700,70000,Other,NA,NA,NA,Derek Omar Alderbas,Senior Program Officer,derek.alderbas@violetsyria.org,5522633175,2023-04-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Completed,Idleb,Harim,Qourqeena,Qourqeena,NA,Al Tagtiah / التغطية,SY07,SY0703,SY070304,C4174,NA,CP001794,NA,camp,36.138546,36.61267,Multipurpose - One time,Earthquake,41,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,6150,Other,2023-06-15,2023-07-31,NA,Derek Omar Alderbas,Program Coordinator,derek.alderbas@violetsyria.org,5522633175,2023-06-30,VO,Violet Organization (VO),Multipurpose Cash Response
NA,CARE International,Planned,Idleb,Harim,Dana,Qah (co),NA,Al Tawheed/ التوحيد,SY07,SY0703,SY070301,C4131,NA,CP000172,NA,camp,36.296273,36.725165,Multipurpose - One time,Earthquake,97,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,Paper voucher,USD,150,One-off,1,1,150,14550,Other,2023-06-15,2023-07-31,NA,Derek Omar Alderbas,Program Coordinator,derek.alderbas@violetsyria.org,5522633175,2023-06-30,VO,Violet Organization (VO),Multipurpose Cash Response
